Question,Answer,File,URL
What is required to opt out of guard.me@SFU?,"To opt out of guard.me@SFU, you must have valid coverage through BC Medical Services Plan (MSP) or another Canadian provincial or territorial public health coverage. You need to contact your Provincial or Territorial health plan provider to inquire about coverage while in British Columbia (BC). Additionally, if opting out with BC MSP, you must submit proof of MSP which includes a photo of your MSP card and one additional document. To opt out, visit the opt-out website, select your appropriate student category, and follow the opt-out instructions before the deadline.",1_1_11_1,https://www.sfu.ca/medical-insurance/g-international-us-students.html
How do I make claims with guard.me@SFU?,"When visiting any of the SFU Health Clinics, print out a copy of your Healthcare Access Card (HAC) from the guard.me@SFU website. The HAC is your proof of insurance containing your coverage information. They will collect a copy for each visit and will directly bill guard.me@SFU on your behalf. No additional claim is required.

For clinics that do not allow direct billing, you will need to pay upfront for the visit. Keep copies of all your payment receipts. To submit a claim, please visit guard.me@SFU to create an online account and upload copies of your receipts.",1_1_11_1,https://www.sfu.ca/medical-insurance/g-international-us-students.html
Can I receive a refund for unused guard.me@SFU coverage?,"Yes, you may be eligible for a refund of the unused portion of your guard.me@SFU insurance if you have not made a claim and there is more than 1 month of coverage remaining when you apply. Your application for a partial reimbursement must be received by guard.me@SFU before the last month of the term. If approved, your partial refund will be applied to your SFU account.",1_1_11_1,https://www.sfu.ca/medical-insurance/g-international-us-students.html
What happens if I never applied for BC MSP but have been living in BC?,"If you have been living in BC but never applied for BC MSP, you should apply for BC MSP right away. Primary medical insurance is legally required for all residents of British Columbia (including international students) and is provided through the BC Medical Services Plan (MSP).",1_1_11_1,https://www.sfu.ca/medical-insurance/g-international-us-students.html
How do I update my MSP after receiving a new study permit?,"Once you have received your new study permit, you can notify BC MSP by completing an online form and uploading a copy of your new study permit. Please visit the MSP website for more information.",1_1_11_1,https://www.sfu.ca/medical-insurance/g-international-us-students.html
What does BC MSP cover?,"BC MSP provides primary medical coverage such as visits to doctors, hospital stays, and diagnostic medical testing.",1_1_11_1,https://www.sfu.ca/medical-insurance/g-international-us-students.html
What does secondary medical insurance generally cover?,"Secondary medical insurance generally covers vision care, prescription drugs, dental, and extended health care.",1_1_11_1,https://www.sfu.ca/medical-insurance/g-international-us-students.html
How can I opt out of the GSS Health and Dental Plan?,"You may opt out of the GSS extended health plan if you have existing secondary coverage in BC. To opt out, you will be required to upload proof of coverage on the GSS Health and Dental website during the Change-of-Coverage Period.",1_1_11_1,https://www.sfu.ca/medical-insurance/g-international-us-students.html
How can I claim benefits under the GSS Health and Dental Plan?,"You can claim benefits under the GSS Health and Dental Plan online, through a mobile app, or by mail. Please allow up to two weeks for claims to be processed. For claim forms and more information, please visit the GSS Health and Dental website.",1_1_11_1,https://www.sfu.ca/medical-insurance/g-international-us-students.html
Can I enrol my dependents in the GSS Health and Dental Plan?,"Yes, you can enrol your dependents (spouse and/or dependent children) in the GSS Health and Dental Plan by completing an enrolment process and paying an additional fee during the Change-of-Coverage Period. Common law couples are also eligible.",1_1_11_1,https://www.sfu.ca/medical-insurance/g-international-us-students.html
Where can I find more information about my secondary medical insurance?,"You can find more information about your secondary medical insurance by visiting the GSS Health and Dental Plan website or by calling the Care Centre at 236-427-8123, Monday to Friday from 9 am to 5 pm. You can also visit the Studentcare Care Office in-person at the Student Union Building (SUB) 2301 on SFU Burnaby campus during the same hours.",1_1_11_1,https://www.sfu.ca/medical-insurance/g-international-us-students.html
How can I contact a representative regarding my secondary medical insurance?,"You can reach a representative by calling the Care Centre at 236-427-8123, Monday to Friday from 9 am to 5 pm. Or you can visit the Studentcare Care Office in person, located at the Student Union Building (SUB) 2301 on SFU Burnaby campus, Monday to Friday from 9 am to 5 pm.",1_1_11_1,https://www.sfu.ca/medical-insurance/g-international-us-students.html
What types of medical insurance are required at SFU?,Primary and Secondary Medical Insurance.,1_1_11_2,https://www.sfu.ca/medical-insurance/graduate-canadian-citizens-permanent-residents.html
What does primary medical insurance cover?,"Primary medical insurance covers services that require medical attention, such as visits to doctors, hospital stays, and diagnostic medical testing.",1_1_11_2,https://www.sfu.ca/medical-insurance/graduate-canadian-citizens-permanent-residents.html
Is primary medical insurance legally required in British Columbia?,"Yes, primary medical insurance is legally required in British Columbia and is provided through the BC Medical Services Plan (MSP).",1_1_11_2,https://www.sfu.ca/medical-insurance/graduate-canadian-citizens-permanent-residents.html
What should Canadian students do if they are moving to BC from another province?,"Canadian students moving to BC from another province should check if they can remain on their home province's medical plan. If they cannot remain on their home province coverage, they must apply for BC's Medical Services Plan (MSP).",1_1_11_2,https://www.sfu.ca/medical-insurance/graduate-canadian-citizens-permanent-residents.html
How can Canadian citizens or permanent residents apply for the BC Medical Services Plan?,Canadian citizens or permanent residents can apply for the BC Medical Services Plan (MSP) by completing the MSP Application online as soon as they arrive in BC. They must also ensure they have medical insurance during the waiting period of 2-3 months before their coverage begins.,1_1_11_2,https://www.sfu.ca/medical-insurance/graduate-canadian-citizens-permanent-residents.html
What is the waiting period for new residents applying for BC MSP?,The waiting period for new residents applying for BC MSP is 2-3 months.,1_1_11_2,https://www.sfu.ca/medical-insurance/graduate-canadian-citizens-permanent-residents.html
How can students ensure they are covered during the MSP waiting period?,Students can ensure they are covered during the MSP waiting period by purchasing a private medical insurance plan or by contacting International Services for Students to learn about medical insurance options.,1_1_11_2,https://www.sfu.ca/medical-insurance/graduate-canadian-citizens-permanent-residents.html
What is the process for applying for BC MSP?,"To apply for BC MSP, complete the MSP Application online. You can apply as soon as you arrive in BC. There is a wait period of 2-3 months for new residents before coverage begins. To be covered during the wait period, you may purchase a private medical insurance plan or contact International Services for Students to learn about medical insurance options.",1_1_11_2,https://www.sfu.ca/medical-insurance/graduate-canadian-citizens-permanent-residents.html
How does BC MSP work when visiting a health clinic or hospital?,"Once enrolled, BC MSP will mail you a BC Services Card. When visiting a health clinic or hospital, you will be asked to show your BC Services Card as proof of enrolment. You will not be required to pay for the visit; they will bill BC MSP directly.",1_1_11_2,https://www.sfu.ca/medical-insurance/graduate-canadian-citizens-permanent-residents.html
What does secondary medical insurance generally cover?,"Secondary medical insurance generally covers vision care, prescription drugs, dental, and extended health care.",1_1_11_2,https://www.sfu.ca/medical-insurance/graduate-canadian-citizens-permanent-residents.html
How can eligible SFU students receive secondary medical insurance?,Eligible SFU students receive secondary medical insurance through the SFSS/GSS Extended Health and Dental Plan.,1_1_11_2,https://www.sfu.ca/medical-insurance/graduate-canadian-citizens-permanent-residents.html
How can students opt out of the GSS Health and Dental Plan?,"Students may opt out of the GSS Health and Dental Plan if they have existing secondary coverage in BC. To opt out, they must upload proof of coverage on the GSS Health and Dental website during the Change-of-Coverage Period.",1_1_11_2,https://www.sfu.ca/medical-insurance/graduate-canadian-citizens-permanent-residents.html
What is the GSS Health and Dental Plan?,"The Graduate Student Society (GSS) health and dental plan complements primary medical coverage (i.e., BC MSP). It includes services not covered by primary coverage, such as vision and dental care. Eligible students are automatically covered by and billed for applicable portions of the student plan, except if entering in the summer term. Note that plan benefits are only accessible within Canada.",1_1_11_2,https://www.sfu.ca/medical-insurance/graduate-canadian-citizens-permanent-residents.html
How can students make claims on their secondary medical insurance?,"Students can make claims online, through a mobile app, or by mail. They should allow up to two weeks for claims to be processed. For claim forms and more information, they can visit the GSS Health and Dental website.",1_1_11_2,https://www.sfu.ca/medical-insurance/graduate-canadian-citizens-permanent-residents.html
Who can students contact for questions about their secondary medical insurance?,"Students can contact a representative by calling the Care Centre at 236-427-8123, Mon. - Fri. from 9 am to 5 pm, or visit the Studentcare Care Office in-person at the Student Union Building (SUB) 2301 on SFU Burnaby campus, Mon. - Fri. from 9 am to 5 pm.",1_1_11_2,https://www.sfu.ca/medical-insurance/graduate-canadian-citizens-permanent-residents.html
Why is medical insurance necessary for students studying in Canada?,"Medical insurance is necessary for students studying in Canada because the Canadian health system provides a high standard of health care, but care is very expensive if uninsured. Without insurance, students could face thousands of dollars in hospital costs per day or be refused certain services.",1_1_11,https://www.sfu.ca/medical-insurance.html
What are the financial risks of not having health insurance while studying in Canada?,The financial risks of not having health insurance while studying in Canada include the potential to pay thousands of dollars per day for a hospital stay and the possibility of being refused certain medical services.,1_1_11,https://www.sfu.ca/medical-insurance.html
Are there different insurance requirements for undergraduate and graduate students?,"Yes, there are different insurance requirements for undergraduate and graduate students.",1_1_11,https://www.sfu.ca/medical-insurance.html
Do exchange or study abroad students need to have medical insurance?,"Yes, exchange or study abroad students must have medical insurance for the entire duration of their studies.",1_1_11,https://www.sfu.ca/medical-insurance.html
What could happen if a student requires hospital care without insurance in Canada?,"Without insurance, a student could pay thousands of dollars per day for a hospital stay or even be refused certain services.",1_1_11,https://www.sfu.ca/medical-insurance.html
How does the cost of healthcare in Canada compare for insured versus uninsured individuals?,"The cost of healthcare in Canada is very expensive for uninsured individuals, potentially costing thousands of dollars per day for a hospital stay, and they may be refused certain services. In contrast, insured individuals benefit from the high standard of healthcare provided by the Canadian health system without facing such high costs.",1_1_11,https://www.sfu.ca/medical-insurance.html
Can visitors to Canada access healthcare services without insurance?,"No, visitors to Canada cannot access healthcare services without insurance, as care is very expensive and they may be refused certain services.",1_1_11,https://www.sfu.ca/medical-insurance.html
What are some potential consequences of being refused medical services in Canada?,"1. High medical costs, potentially thousands of dollars per day for a hospital stay.
2. Refusal of certain medical services.",1_1_11,https://www.sfu.ca/medical-insurance.html
Who is eligible to apply for coverage under the GuardMe@SFU Plan?,Visitors to the campus of Simon Fraser University and their dependents.,1_1_12_10_1,https://sites.guard.me/sfu/department/visitors
How much does coverage under the GuardMe@SFU Plan cost per person per day?,$2.30 per person per day.,1_1_12_10_1,https://sites.guard.me/sfu/department/visitors
What is the minimum purchase duration for the GuardMe@SFU Plan?,40 days,1_1_12_10_1,https://sites.guard.me/sfu/department/visitors
What types of support does the GuardMe Student Support Program offer?,"The GuardMe Student Support Program offers:
- 24/7 access to mental health support
- Counseling services with experienced professionals
- Culturally sensitive support
- Crisis intervention services
- Early intervention promotion for mental health challenges",1_1_12_10_1,https://sites.guard.me/sfu/department/visitors
How can I contact the keep.meSAFE sales team?,You can contact the keep.meSAFE sales team by emailing [email protected] or visiting www.keepmesafe.org.,1_1_12_10_1,https://sites.guard.me/sfu/department/visitors
What is the purpose of the TELUS Student Support App?,The TELUS Student Support App provides 24/7 access to mental health support and allows students to chat directly with a counsellor.,1_1_12_10_1,https://sites.guard.me/sfu/department/visitors
Is the GuardMe Student Support Program confidential?,"Yes, the GMSSP is completely confidential within the limits of the law.",1_1_12_10_1,https://sites.guard.me/sfu/department/visitors
How can I access Canadian doctors through mobileDOCTOR by GuardMe?,"You can access Canadian doctors through mobileDOCTOR by GuardMe by connecting with doctors on Maple, a telemedicine company, via your phone, tablet, or computer anytime, anywhere. You will need your policy number and date of birth, and you can have your consultation by text, video, or audio chat.",1_1_12_10_1,https://sites.guard.me/sfu/department/visitors
What do I need to connect with a doctor on Maple using mobileDOCTOR?,You will need your policy number and date of birth.,1_1_12_10_1,https://sites.guard.me/sfu/department/visitors
Can doctors provide prescriptions through the mobileDOCTOR service?,"Yes, doctors can diagnose injuries and illnesses, write prescriptions, and provide lab requisitions through the mobileDOCTOR service.",1_1_12_10_1,https://sites.guard.me/sfu/department/visitors
What should I do in an emergency situation?,"In an emergency situation, please call 911 immediately.",1_1_12_10_1,https://sites.guard.me/sfu/department/visitors
What kind of data protection measures does GuardMe have in place?,"GuardMe stores all student data exclusively in Canadian data centres, adhering to some of the world's strictest privacy laws. They utilize advanced encryption and continuously invest in security innovations. GuardMe has also achieved ISO and SOC 2 compliance in both security and privacy.",1_1_12_10_1,https://sites.guard.me/sfu/department/visitors
How does keep.meSAFE promote mental health support for students?,"keep.meSAFE promotes mental health support for students by offering early intervention and 24/7 access to mental health support through its innovative Student Support Program (SSP). The program provides linguistically and culturally matched licensed clinicians, ensuring students feel comfortable seeking help.",1_1_12_10_1,https://sites.guard.me/sfu/department/visitors
What services are provided by the GuardMe mental health helpline?,"- 24/7 multilingual mental health support
- Virtual counselling
- Crisis intervention services",1_1_12_10_1,https://sites.guard.me/sfu/department/visitors
Are there any restrictions on the prescriptions provided by mobileDOCTOR?,"Yes, only eligible prescriptions and lab requisitions are covered by guard.me and can only be provided if you are in Canada.",1_1_12_10_1,https://sites.guard.me/sfu/department/visitors
How can I learn more about the GuardMe Student Support Program?,"To learn more about the GuardMe Student Support Program, you can visit www.gmssp.org, call 1-844-451-9700, or download the TELUS Student Support App from the Apple App Store or Google Play.",1_1_12_10_1,https://sites.guard.me/sfu/department/visitors
What is the reimbursement rate for the Extended Health Care Plan?,80% Reimbursement,1_1_12_10_4,https://www.sfu.ca/human-resources/faculty/benefits/short-term-visiting.html
When does coverage under the Extended Health Care Plan begin for new residents?,"Coverage under the Extended Health Care Plan begins on the first day of the month coincident with or following the appointment, or on the date the Medical Services Plan (MSP) commences.",1_1_12_10_4,https://www.sfu.ca/human-resources/faculty/benefits/short-term-visiting.html
What is the waiting period for the Medical Services Plan (MSP) in British Columbia?,The waiting period for the Medical Services Plan (MSP) in British Columbia is 3 months.,1_1_12_10_4,https://www.sfu.ca/human-resources/faculty/benefits/short-term-visiting.html
How can I apply for the Medical Services Plan (MSP)?,"To apply for the Medical Services Plan (MSP), you need to make an application directly to Health Insurance BC and you will be enrolled on a self-administered MSP account. Any changes to your account, such as address changes or adding/removing dependents, are also made directly with Health Insurance BC.",1_1_12_10_4,https://www.sfu.ca/human-resources/faculty/benefits/short-term-visiting.html
What coverage is included under the Basic Accidental Death & Dismemberment Insurance?,"$10,000",1_1_12_10_4,https://www.sfu.ca/human-resources/faculty/benefits/short-term-visiting.html
When does the Basic Accidental Death & Dismemberment Insurance coverage start?,First day actively at work.,1_1_12_10_4,https://www.sfu.ca/human-resources/faculty/benefits/short-term-visiting.html
Where can I find detailed information about the BC College Pension Plan?,Please refer to the Simon Fraser University Faculty Association Collective Agreement for detailed information.,1_1_12_10_4,https://www.sfu.ca/human-resources/faculty/benefits/short-term-visiting.html
What should I do if I need to change my MSP account details?,"You should make any changes to your account (e.g., address change, add/remove dependent) directly with Health Insurance BC.",1_1_12_10_4,https://www.sfu.ca/human-resources/faculty/benefits/short-term-visiting.html
Who can I contact for more information about employee benefits at Simon Fraser University?,"You can contact the People, Equity and Inclusion department at Simon Fraser University. Their office is located in Strand Hall, Room 2170, 8888 University Drive. You can reach them by telephone at 778 782 3237 or by fax at 778 782 3449.",1_1_12_10_4,https://www.sfu.ca/human-resources/faculty/benefits/short-term-visiting.html
"What are the office hours for the People, Equity and Inclusion department?",8:30am - 4:30pm (Monday - Thursday),1_1_12_10_4,https://www.sfu.ca/human-resources/faculty/benefits/short-term-visiting.html
What is the deadline to submit the Annual Outside Activities Report (OAR)?,31-Jan-25,1_1_12_10_5,https://www.sfu.ca/faculty-relations.html?_gl=1*1hz2kjo*_gcl_au*MTQ3MjU5MDUzMC4xNzYxNDg4MzMx*_ga*Mzc4MDYxMDcyLjE3NjE0ODgzMzE.*_ga_R4BCVYL1QF*czE3NjM4NTMwMTYkbzI2JGcxJHQxNzYzODU3MDg1JGoyMiRsMCRoMA..
When is the New Faculty Orientation scheduled for?,22-Aug-24,1_1_12_10_5,https://www.sfu.ca/faculty-relations.html?_gl=1*1hz2kjo*_gcl_au*MTQ3MjU5MDUzMC4xNzYxNDg4MzMx*_ga*Mzc4MDYxMDcyLjE3NjE0ODgzMzE.*_ga_R4BCVYL1QF*czE3NjM4NTMwMTYkbzI2JGcxJHQxNzYzODU3MDg1JGoyMiRsMCRoMA..
Which receipts are eligible for the 2024 Professional Development Report (PDR) year?,Receipts dated 2023 & 2024 are eligible in the 2024 PDR year.,1_1_12_10_5,https://www.sfu.ca/faculty-relations.html?_gl=1*1hz2kjo*_gcl_au*MTQ3MjU5MDUzMC4xNzYxNDg4MzMx*_ga*Mzc4MDYxMDcyLjE3NjE0ODgzMzE.*_ga_R4BCVYL1QF*czE3NjM4NTMwMTYkbzI2JGcxJHQxNzYzODU3MDg1JGoyMiRsMCRoMA..
What are the effective dates of the SFU/SFUFA Collective Agreement?,"July 1, 2022 to June 30, 2025",1_1_12_10_5,https://www.sfu.ca/faculty-relations.html?_gl=1*1hz2kjo*_gcl_au*MTQ3MjU5MDUzMC4xNzYxNDg4MzMx*_ga*Mzc4MDYxMDcyLjE3NjE0ODgzMzE.*_ga_R4BCVYL1QF*czE3NjM4NTMwMTYkbzI2JGcxJHQxNzYzODU3MDg1JGoyMiRsMCRoMA..
Where can I find the updated SFUFA Salary Scales?,The updated SFUFA Salary Scales can be found in the context provided.,1_1_12_10_5,https://www.sfu.ca/faculty-relations.html?_gl=1*1hz2kjo*_gcl_au*MTQ3MjU5MDUzMC4xNzYxNDg4MzMx*_ga*Mzc4MDYxMDcyLjE3NjE0ODgzMzE.*_ga_R4BCVYL1QF*czE3NjM4NTMwMTYkbzI2JGcxJHQxNzYzODU3MDg1JGoyMiRsMCRoMA..
What resources are available for harassment of faculty spokespeople?,The provided context does not specify any resources available for harassment of faculty spokespeople.,1_1_12_10_5,https://www.sfu.ca/faculty-relations.html?_gl=1*1hz2kjo*_gcl_au*MTQ3MjU5MDUzMC4xNzYxNDg4MzMx*_ga*Mzc4MDYxMDcyLjE3NjE0ODgzMzE.*_ga_R4BCVYL1QF*czE3NjM4NTMwMTYkbzI2JGcxJHQxNzYzODU3MDg1JGoyMiRsMCRoMA..
"What are the 2024 RTP processes, timelines, and checklists?","The 2024 RTP processes, timelines, and checklists are not provided in the context.",1_1_12_10_5,https://www.sfu.ca/faculty-relations.html?_gl=1*1hz2kjo*_gcl_au*MTQ3MjU5MDUzMC4xNzYxNDg4MzMx*_ga*Mzc4MDYxMDcyLjE3NjE0ODgzMzE.*_ga_R4BCVYL1QF*czE3NjM4NTMwMTYkbzI2JGcxJHQxNzYzODU3MDg1JGoyMiRsMCRoMA..
Is there any information available for new faculty members?,"Yes, there is information available for new faculty members, including a New Faculty Orientation scheduled for August 22, 2024.",1_1_12_10_5,https://www.sfu.ca/faculty-relations.html?_gl=1*1hz2kjo*_gcl_au*MTQ3MjU5MDUzMC4xNzYxNDg4MzMx*_ga*Mzc4MDYxMDcyLjE3NjE0ODgzMzE.*_ga_R4BCVYL1QF*czE3NjM4NTMwMTYkbzI2JGcxJHQxNzYzODU3MDg1JGoyMiRsMCRoMA..
What is guard.me@SFU?,guard.me@SFU is a short-term primary medical insurance coverage designed to help transition students to Canada while they wait for their BC Medical Services Plan (MSP).,1_1_12_10,https://www.sfu.ca/medical-insurance/2-3-term-study-abroad.html
How long is the mandatory primary medical insurance coverage under guard.me@SFU?,4 months,1_1_12_10,https://www.sfu.ca/medical-insurance/2-3-term-study-abroad.html
Can I opt out of guard.me@SFU if I am studying outside of Canada?,"Yes, you can opt out of guard.me@SFU temporary medical insurance plan if you are studying outside of Canada or if you have one of the eligible plans. Most exchange students are not eligible to opt out.",1_1_12_10,https://www.sfu.ca/medical-insurance/2-3-term-study-abroad.html
What should I do to apply for BC Medical Services Plan (MSP)?,"To apply for BC Medical Services Plan (MSP), complete the MSP Application online at the specified website. Alternatively, you can complete the MSP Application Enrolment form by mail and send it directly to BC MSP. You may apply as soon as you arrive in BC.",1_1_12_10,https://www.sfu.ca/medical-insurance/2-3-term-study-abroad.html
When does the BC MSP coverage start for new residents?,The BC MSP coverage for new residents starts after a 2-3 month waiting period.,1_1_12_10,https://www.sfu.ca/medical-insurance/2-3-term-study-abroad.html
How can I obtain my policy or certificate number for guard.me@SFU?,"You will receive a welcome email from guard.me@SFU at the beginning of the semester. This email will include a link to log into your account to view your policy details. You can view and download your Healthcare Access Card (HAC), which is your proof of insurance and will have your name, student number, policy number, and policy start and end date. You can also log in via the Guard.me@SFU website.",1_1_12_10,https://www.sfu.ca/medical-insurance/2-3-term-study-abroad.html
What do I need to do if I want to opt out of guard.me@SFU?,"To opt out of guard.me@SFU, visit their website, click the appropriate category, and follow the opt-out instructions. Be mindful of the opt-out deadlines, as most exchange students are not eligible to opt out.",1_1_12_10,https://www.sfu.ca/medical-insurance/2-3-term-study-abroad.html
How can I make claims with guard.me@SFU?,"When visiting any of the SFU Health Clinics, print out a copy of your Healthcare Access Card (HAC) from the guard.me@SFU website. The HAC is your proof of insurance containing your coverage information. They will collect a copy for each visit and will directly bill guard.me@SFU on your behalf. No additional claim is required. You can search for Guard.me preferred clinics near your location for direct billing.

For clinics that do not allow direct billing, you will need to pay upfront for the visit. Keep copies of all your payment receipts. To submit a claim, please visit guard.me@SFU to create an online account and upload copies of your receipts.",1_1_12_10,https://www.sfu.ca/medical-insurance/2-3-term-study-abroad.html
Am I eligible for a refund if I receive my BC Services Card before the end of my first term?,"Yes, you may be eligible for a refund of the unused portion of your insurance if you have not made a claim and there is more than 1 month of coverage remaining when you apply through guard.me@SFU. Your application for a partial reimbursement must be received before the last month of the term.",1_1_12_10,https://www.sfu.ca/medical-insurance/2-3-term-study-abroad.html
What is the cost of guard.me@SFU for the first term?,$281 for your first term at SFU*,1_1_12_10,https://www.sfu.ca/medical-insurance/2-3-term-study-abroad.html
What do I need to do to apply for the BC MSP?,"To apply for BC MSP, complete the MSP Application online at the BC MSP website. You may also complete the MSP Application Enrolment form by mail and send it directly to BC MSP. You can apply as soon as you arrive in BC.",1_1_12_10,https://www.sfu.ca/medical-insurance/2-3-term-study-abroad.html
How does BC MSP work when visiting healthcare facilities?,"Once enrolled, BC MSP will mail you a BC Services Card along with an invoice to pay. Payments may be made monthly or in advance, directly to BC MSP, not through SFU. When visiting a health clinic or hospital, you will be asked to show your BC Services Card as proof of enrolment, and you will not be required to pay for the visit, as they will bill BC MSP directly.",1_1_12_10,https://www.sfu.ca/medical-insurance/2-3-term-study-abroad.html
What is the SFSS Health and Dental Plan?,"The undergraduate Simon Fraser Student Society Health and Dental Plan is in place to complement primary medical coverage (i.e., MSP). Services not covered by primary coverage (i.e., vision and dental care) are included in the SFSS plan. Eligible students are automatically covered by and billed for applicable portions of the student plan (except if entering in summer term). Note that plan benefits are only accessible within Canada.",1_1_12_10,https://www.sfu.ca/medical-insurance/2-3-term-study-abroad.html
